timestamp,bos_7d,bos_28d,bos_91d,realized_vol_30d,gross_budget,daily_close
2025-07-18,1.0,1.0,1.0,0.6633327389596674,0.15075390392585508,3420.72
2025-07-19,1.0,1.0,1.0,0.6712788253365951,0.14896939427496114,3565.49
2025-07-20,1.0,1.0,1.0,0.6704682279436134,0.14914949856268214,3552.66
2025-07-21,1.0,1.0,1.0,0.6919639186981666,0.14451620568329057,3785.5
2025-07-22,1.0,1.0,1.0,0.6757933082159044,0.14797423825340944,3812.04
2025-07-23,1.0,1.0,1.0,0.5365101002877234,0.186389780819357,3719.7
2025-07-24,1.0,1.0,1.0,0.5489792239871429,0.18215625588472542,3645.51
2025-07-25,1.0,1.0,1.0,0.49939962851280795,0.2002404372982735,3730.0
2025-07-26,1.0,1.0,1.0,0.5099893631579522,0.19608252097804704,3632.68
2025-07-27,1.0,1.0,1.0,0.5121167648346715,0.19526796790627107,3734.53
2025-07-28,1.0,1.0,1.0,0.5109178232605072,0.1957261920553747,3818.31
2025-07-29,1.0,1.0,1.0,0.5117778049615888,0.19539729748050613,3806.61
2025-07-30,1.0,1.0,1.0,0.517873153018121,0.19309747844082756,3760.5
2025-07-31,1.0,1.0,1.0,0.5181521131585496,0.19299351958717376,3795.99
2025-08-01,1.0,1.0,1.0,0.5067471730900479,0.19733706532632242,3786.01
2025-08-02,1.0,1.0,1.0,0.5451344876994,0.18344097146013327,3614.19
2025-08-03,-1.0,1.0,1.0,0.5751629461191156,0.17386377317027327,3457.93
2025-08-04,-1.0,1.0,1.0,0.5601263527311561,0.17853114661076663,3474.62
2025-08-05,-1.0,1.0,1.0,0.5736340636856901,0.17432716487839667,3646.59
2025-08-06,-1.0,1.0,1.0,0.584538749472398,0.17107505719725088,3569.3
2025-08-07,-1.0,1.0,1.0,0.5818010572609393,0.17188005891702898,3662.64
2025-08-08,-1.0,1.0,1.0,0.5931332322419113,0.1685961847425448,3834.81
2025-08-09,1.0,1.0,1.0,0.5912705202715677,0.16912732255629875,3953.29
