test_month,train_start,train_label_exit_max,train_rows,test_rows,return_correlation,mean_prediction,prediction_std
2025-02-01,2024-02-02 00:00:00,2025-01-31 23:46:00,35008,2688,0.2528908867001654,0.0019236912474222619,0.0036335108256615755
2025-03-01,2024-03-01 00:00:00,2025-02-28 23:46:00,35008,2976,0.001536379181215236,0.0010612282292910393,0.003533785176215513
2025-04-01,2024-04-01 00:00:00,2025-03-31 23:46:00,35008,2880,0.2505762531709498,0.0012993002473466507,0.0028017780777042554
2025-05-01,2024-05-01 00:00:00,2025-04-30 23:46:00,35008,2976,0.14170006294286439,0.00011595400193314121,0.0026756804042164005
2025-06-01,2024-06-01 00:00:00,2025-05-31 23:46:00,35008,2880,-0.14379325855372874,0.000424742483376633,0.0031868378701275504
2025-07-01,2024-07-01 00:00:00,2025-06-30 23:46:00,35008,2976,-0.04829670019440059,0.000528516294673727,0.0021148845338083934
2025-08-01,2024-08-01 00:00:00,2025-07-31 23:46:00,35008,2976,-0.08678695543292617,0.0008681651812466384,0.002376683372866919
2025-09-01,2024-09-01 00:00:00,2025-08-31 23:46:00,35008,2880,0.050444676118750705,0.00034659026064368163,0.0020030354273470993
2025-10-01,2024-10-01 00:00:00,2025-09-30 23:46:00,35008,2976,-0.012858112903542657,0.0012466550322448816,0.0019278353284755314
2025-11-01,2024-11-01 00:00:00,2025-10-31 23:46:00,35008,2880,0.0533353040725654,0.0015637214619672343,0.0015470388655187985
2025-12-01,2024-12-01 00:00:00,2025-11-30 23:46:00,35008,2976,-0.02875905034781063,0.0008809561256810753,0.0017535387037169827
2026-01-01,2025-01-01 00:00:00,2025-12-31 23:46:00,35008,2976,-0.0032092682205441337,0.00046781368831760173,0.0019213685358245238
2026-02-01,2025-02-01 00:00:00,2026-01-31 23:46:00,35008,2688,0.015044421366184038,0.0007917871474308344,0.0020463921030301232
2026-03-01,2025-03-01 00:00:00,2026-02-28 23:46:00,35008,2976,0.09469128213597688,0.00040632303804811196,0.00122898270698191
2026-04-01,2025-04-01 00:00:00,2026-03-31 23:46:00,35008,2880,-0.013713987973888033,0.0005897502044568286,0.0009938398308641256
2026-05-01,2025-05-01 00:00:00,2026-04-30 23:46:00,35008,2976,-0.133570323393201,0.00021732048749680775,0.001230225474608944
2026-06-01,2025-06-01 00:00:00,2026-05-31 23:46:00,35008,2880,0.038065528059677486,0.0005160149028974239,0.001403138384937922
2026-07-01,2025-07-01 00:00:00,2026-06-30 23:46:00,35008,288,0.15925138491915297,-0.0003116805872237095,0.0005758563812430642
