side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2021-04-23,2021-04-24 00:01:00,2021-04-27 23:48:00,2332.51,2666.51,2670.72,1656.090000000001,0.14499830654530937,0.03448316134945748,-0.1431933839511943,-0.004972243724313306,stop,False
short,2021-04-27,2021-04-28 00:01:00,2021-04-28 00:02:00,2668.32,2677.27,2671.24,2662.480000000001,0.0010943215206570493,0.3,-0.0033541704143429385,-0.0013062511243028814,stop,False
short,2021-04-30,2021-05-01 00:01:00,2021-05-01 10:00:00,2738.2,2805.56,2802.56,2609.4799999999996,0.02350449200204519,0.21272529521441844,-0.02460010225695708,-0.0054457893101304946,stop,False
short,2021-05-07,2021-05-08 00:01:00,2021-05-08 04:49:00,3573.14,3496.66,3610.0,3499.4199999999996,0.01031585664149743,0.3,0.02140414313460992,0.006121242940382976,target,False
short,2021-05-11,2021-05-12 00:01:00,2021-05-12 10:23:00,4026.25,4230.88,4208.17,3662.41,0.045183483390251494,0.11065990545294631,-0.05082396771189068,-0.005734835367194365,stop,False
short,2021-05-12,2021-05-13 00:01:00,2021-05-13 07:59:00,4185.09,3763.85,4374.99,3805.290000000001,0.045375368271649986,0.1101919431279623,0.10065255466429635,0.010980908636124297,target,False
long,2021-05-19,2021-05-20 00:01:00,2021-05-24 00:18:00,2717.6,1815.12,1811.4,4530.0,0.3334559905799234,0.014994482454204372,-0.33208713570797765,-0.004994469212094461,stop,False
long,2021-05-24,2021-05-25 00:01:00,2021-06-01 00:01:00,2529.34,2642.42,1728.64,4130.74,0.3165647955593159,0.01579455476458099,0.04470731495172653,0.0006903375796178342,time,False
long,2021-06-19,2021-06-20 00:01:00,2021-06-20 18:06:00,2245.87,2138.09,2136.39,2464.83,0.048747256074483394,0.10256987577639749,-0.047990311104382566,-0.005024930124223587,stop,False
long,2021-07-20,2021-07-21 00:01:00,2021-07-22 00:31:00,1802.68,1980.77,1713.34,1981.3600000000004,0.04955954467792406,0.10088873964629488,0.09879179887722711,0.0098660913364674,target,False
short,2021-07-27,2021-07-28 00:01:00,2021-07-30 09:48:00,2277.71,2442.7,2435.74,1961.6500000000005,0.069381088900694,0.0720657470100615,-0.07243678958251909,-0.005292277099284941,stop,False
