timestamp,side,sweep_low,sweep_high,prior_high,prior_low,bar_high,bar_low,bar_close,event_day,available_time
2023-01-08,short,False,True,1274.0,1150.0,1277.83,1259.63,1264.67,2023-01-07,2023-01-08
2023-01-11,short,False,True,1342.0,1180.0,1344.49,1315.58,1333.39,2023-01-10,2023-01-11
2023-01-12,short,False,True,1344.49,1180.0,1348.46,1321.0,1323.0,2023-01-11,2023-01-12
2023-01-14,short,False,True,1422.37,1180.0,1440.92,1383.12,1421.55,2023-01-13,2023-01-14
2023-01-22,short,False,True,1647.33,1191.0,1680.0,1560.91,1646.87,2023-01-21,2023-01-22
2023-02-03,short,False,True,1680.0,1383.12,1700.0,1555.0,1677.88,2023-02-02,2023-02-03
2023-02-04,short,False,True,1700.0,1406.72,1720.0,1625.92,1663.14,2023-02-03,2023-02-04
2023-02-11,long,True,False,1720.0,1510.82,1634.2,1504.0,1522.55,2023-02-10,2023-02-11
2023-02-12,long,True,False,1720.0,1504.0,1539.72,1485.0,1522.92,2023-02-11,2023-02-12
2023-02-15,long,True,False,1720.0,1463.0,1569.68,1460.03,1544.69,2023-02-14,2023-02-15
2023-02-18,short,False,True,1730.0,1460.03,1743.88,1631.0,1672.74,2023-02-17,2023-02-18
2023-03-24,short,False,True,1845.0,1367.0,1858.88,1710.0,1837.72,2023-03-23,2023-03-24
2023-04-28,long,True,False,2165.87,1800.0,1958.95,1782.2,1900.0,2023-04-27,2023-04-28
2023-06-23,short,False,True,1914.89,1623.19,1933.96,1846.7,1877.66,2023-06-22,2023-06-23
2023-06-25,short,False,True,1933.96,1623.19,1937.94,1868.35,1874.0,2023-06-24,2023-06-25
2023-07-02,short,False,True,1937.94,1623.19,1948.0,1849.12,1922.72,2023-07-01,2023-07-02
2023-08-02,long,True,False,2030.0,1830.03,1864.95,1808.0,1834.88,2023-08-01,2023-08-02
2023-08-09,long,True,False,1929.6,1808.0,1848.96,1798.1,1843.04,2023-08-08,2023-08-09
2023-09-13,long,True,False,1747.0,1548.0,1627.01,1530.56,1604.08,2023-09-12,2023-09-13
2023-10-01,short,False,True,1688.61,1530.56,1695.0,1656.82,1683.6,2023-09-30,2023-10-01
2023-10-03,short,False,True,1695.0,1530.56,1785.54,1667.66,1692.01,2023-10-02,2023-10-03
2023-10-11,long,True,False,1785.54,1562.2,1594.98,1543.11,1567.7,2023-10-10,2023-10-11
2023-10-12,long,True,False,1785.54,1543.11,1578.98,1540.86,1559.57,2023-10-11,2023-10-12
2023-10-13,long,True,False,1785.54,1540.86,1569.68,1533.69,1541.63,2023-10-12,2023-10-13
2023-10-14,long,True,False,1785.54,1533.69,1555.27,1516.11,1539.39,2023-10-13,2023-10-14
2023-10-24,short,False,True,1693.97,1516.11,1706.21,1624.4,1676.75,2023-10-23,2023-10-24
2023-10-27,short,False,True,1855.0,1516.11,1871.0,1766.58,1777.91,2023-10-26,2023-10-27
2023-11-03,short,False,True,1871.0,1516.11,1874.47,1791.87,1803.0,2023-11-02,2023-11-03
2023-12-07,short,False,True,2277.13,1905.0,2312.92,2220.09,2252.51,2023-12-06,2023-12-07
2023-12-10,short,False,True,2395.0,1928.8,2407.39,2336.79,2363.58,2023-12-09,2023-12-10
2023-12-29,short,False,True,2407.39,2115.0,2453.95,2335.16,2359.43,2023-12-28,2023-12-29
2024-01-04,long,True,False,2453.95,2115.0,2386.2,2052.45,2240.0,2024-01-03,2024-01-04
2024-01-11,short,False,True,2453.95,2052.45,2462.0,2243.37,2449.61,2024-01-10,2024-01-11
2024-01-13,short,False,True,2691.46,2052.45,2717.77,2571.0,2647.44,2024-01-12,2024-01-13
2024-02-10,short,False,True,2505.95,2167.13,2526.99,2413.11,2494.86,2024-02-09,2024-02-10
2024-02-12,short,False,True,2526.99,2167.13,2540.8,2483.34,2509.33,2024-02-11,2024-02-12
2024-02-21,short,False,True,2932.9,2238.0,3008.0,2870.11,2925.81,2024-02-20,2024-02-21
2024-02-22,short,False,True,3008.0,2238.0,3035.56,2866.86,2915.29,2024-02-21,2024-02-22
2024-02-24,short,False,True,3035.56,2262.6,3037.98,2912.4,2916.25,2024-02-23,2024-02-24
2024-03-07,short,False,True,3825.0,2718.29,3904.09,3176.41,3791.15,2024-03-06,2024-03-07
2024-03-09,short,False,True,3904.09,2718.29,3999.0,3814.92,3902.37,2024-03-08,2024-03-09
2024-03-13,short,False,True,4068.23,2866.86,4096.15,3944.06,3990.7,2024-03-12,2024-03-13
2024-03-21,long,True,False,4096.15,3156.53,3397.99,3051.58,3294.15,2024-03-20,2024-03-21
2024-04-10,short,False,True,3680.62,3051.58,3732.93,3477.0,3530.4,2024-04-09,2024-04-10
2024-04-14,long,True,False,3732.93,3200.1,3454.82,3055.01,3272.12,2024-04-13,2024-04-14
2024-05-23,short,False,True,3838.09,2860.12,3845.0,3653.33,3761.36,2024-05-22,2024-05-23
2024-05-24,short,False,True,3845.0,2860.12,3950.0,3700.25,3813.74,2024-05-23,2024-05-24
2024-06-16,long,True,False,3978.63,3426.53,3594.29,3362.02,3565.48,2024-06-15,2024-06-16
2024-06-19,long,True,False,3891.94,3362.02,3578.94,3346.0,3423.66,2024-06-18,2024-06-19
2024-07-21,short,False,True,3524.12,2803.48,3542.25,3464.59,3503.46,2024-07-20,2024-07-21
2024-07-23,short,False,True,3542.25,2803.48,3564.0,3410.23,3456.92,2024-07-22,2024-07-23
2024-09-05,long,True,False,2820.6,2391.0,2469.96,2302.89,2455.41,2024-09-04,2024-09-05
2024-09-08,long,True,False,2820.6,2263.22,2311.7,2149.34,2300.57,2024-09-07,2024-09-08
2024-09-21,short,False,True,2565.72,2149.34,2572.96,2433.33,2560.45,2024-09-20,2024-09-21
2024-09-22,short,False,True,2572.96,2149.34,2588.0,2525.12,2559.76,2024-09-21,2024-09-22
2024-09-23,short,False,True,2588.0,2149.34,2636.0,2552.4,2570.77,2024-09-22,2024-09-23
