test_month,feature,coefficient
2023-09-01,return_30d,0.003324755868003843
2023-09-01,return_90d,-0.002643067232395441
2023-09-01,close_location,-0.0013153470634475627
2023-09-01,body_fraction,-0.0011442286356494484
2023-09-01,range_over_20d,0.0026593177071090202
2023-09-01,realized_vol_30d,0.002474607472289847
2023-09-01,distance_high_20d,4.586526569896638e-06
2023-09-01,distance_low_20d,-0.004110275199816781
2023-10-01,return_1d,0.000729933768705698
2023-10-01,return_3d,0.0008297464792705589
2023-10-01,return_7d,0.0008507393390941268
2023-10-01,return_14d,6.119073211659798e-05
2023-10-01,return_30d,0.0029425039308270677
2023-10-01,return_90d,-0.0019082463678298722
2023-10-01,close_location,-0.001677762471348073
2023-10-01,body_fraction,-0.0012694834723034332
2023-10-01,range_over_20d,0.0024857320233392785
2023-10-01,realized_vol_30d,0.002228383907330524
2023-10-01,distance_high_20d,-0.00042223142181616594
2023-10-01,distance_low_20d,-0.0032726020243520225
2023-11-01,return_1d,0.0002449426949253086
2023-11-01,return_3d,0.0014964100006216786
2023-11-01,return_7d,0.0007867861004870273
2023-11-01,return_14d,-0.00013450082269862487
2023-11-01,return_30d,0.0037881029828364474
2023-11-01,return_90d,-0.0042366894938392
2023-11-01,close_location,-0.0012989989977672766
2023-11-01,body_fraction,-0.0011316052352178735
2023-11-01,range_over_20d,0.0023650307950695178
2023-11-01,realized_vol_30d,0.0014466386637181218
2023-11-01,distance_high_20d,-2.8145590982852495e-05
2023-11-01,distance_low_20d,-0.004451300705475584
2023-12-01,return_1d,-0.0003044728601662704
2023-12-01,return_3d,0.0018661406349425866
2023-12-01,return_7d,0.00040780070418296914
2023-12-01,return_14d,-0.00036968288599259085
2023-12-01,return_30d,0.0036105147683322633
2023-12-01,return_90d,-0.004811441375801099
2023-12-01,close_location,-0.0007499256425139917
2023-12-01,body_fraction,-0.0009430470381596895
2023-12-01,range_over_20d,0.0023004792817642758
2023-12-01,realized_vol_30d,0.0007262578937454942
2023-12-01,distance_high_20d,0.000477395804666383
2023-12-01,distance_low_20d,-0.00403439095171253
2024-01-01,return_1d,-0.0001208807333156714
2024-01-01,return_3d,0.002272254847748683
2024-01-01,return_7d,0.0006078672946755753
2024-01-01,return_14d,0.00032924908358116054
2024-01-01,return_30d,0.0038230571545867574
2024-01-01,return_90d,-0.004696010631855508
2024-01-01,close_location,-0.0008596343885557514
2024-01-01,body_fraction,-0.0009754784838817506
2024-01-01,range_over_20d,0.0023212389500654323
2024-01-01,realized_vol_30d,0.0010479594059754629
2024-01-01,distance_high_20d,0.00025539972149700294
2024-01-01,distance_low_20d,-0.0048611113643816616
2024-02-01,return_1d,-0.0012007927380471826
2024-02-01,return_3d,0.0019333012472512177
2024-02-01,return_7d,0.0013647600728138283
2024-02-01,return_14d,0.0005567962625359561
2024-02-01,return_30d,0.003309737729160202
2024-02-01,return_90d,-0.0045155258466497315
2024-02-01,close_location,-0.0002307609661501526
2024-02-01,body_fraction,-0.000617746935706728
2024-02-01,range_over_20d,0.003037234904648519
2024-02-01,realized_vol_30d,0.0015043792264582655
2024-02-01,distance_high_20d,0.0005445978491653458
2024-02-01,distance_low_20d,-0.005486647940188533
2024-03-01,return_1d,-0.0006983334299035841
2024-03-01,return_3d,0.002177921025834948
2024-03-01,return_7d,-0.00011110625451694073
2024-03-01,return_14d,0.0018608540753353327
2024-03-01,return_30d,0.0031169172446890384
2024-03-01,return_90d,-0.003807161537268196
2024-03-01,close_location,-0.0005156089467429844
2024-03-01,body_fraction,0.00025368682309624295
2024-03-01,range_over_20d,0.0025578376888400573
2024-03-01,realized_vol_30d,0.0006899641967645586
2024-03-01,distance_high_20d,0.0003337897454693381
2024-03-01,distance_low_20d,-0.004518438913086531
2024-04-01,return_1d,-0.0006838366515409023
2024-04-01,return_3d,0.00200966691889444
2024-04-01,return_7d,0.0005208908338952119
2024-04-01,return_14d,0.0013152555977270024
2024-04-01,return_30d,0.0036287673708904787
2024-04-01,return_90d,-0.003485087990283348
2024-04-01,close_location,-0.0005433579256686443
2024-04-01,body_fraction,0.00030659943565393774
2024-04-01,range_over_20d,0.002459410734209049
2024-04-01,realized_vol_30d,0.00033174712270491445
2024-04-01,distance_high_20d,-0.00036495467411155446
2024-04-01,distance_low_20d,-0.004055704621450674
2024-05-01,return_1d,-0.0006384118965742191
2024-05-01,return_3d,0.0024505274757174516
2024-05-01,return_7d,-0.00047828517701645835
2024-05-01,return_14d,0.0017210753258590538
2024-05-01,return_30d,0.004084322949283516
2024-05-01,return_90d,-0.003564060642587839
2024-05-01,close_location,-2.554699769711551e-05
2024-05-01,body_fraction,0.00016543784437898158
2024-05-01,range_over_20d,0.00192564795187202
2024-05-01,realized_vol_30d,4.25319165350447e-05
2024-05-01,distance_high_20d,-0.0010123666979956307
2024-05-01,distance_low_20d,-0.003920118848094382
2024-06-01,return_1d,0.0006249725781264433
2024-06-01,return_3d,0.0011112430200263554
2024-06-01,return_7d,0.00023589542923010132
2024-06-01,return_14d,0.002248631309688318
2024-06-01,return_30d,0.0038242591181600963
2024-06-01,return_90d,-0.00384421056173047
2024-06-01,close_location,5.1765521283164376e-05
2024-06-01,body_fraction,0.00010516196427015254
2024-06-01,range_over_20d,0.0018294900110475876
2024-06-01,realized_vol_30d,-0.0004999738327023332
2024-06-01,distance_high_20d,-0.0020957017802069964
2024-06-01,distance_low_20d,-0.004329408453318356
2024-07-01,return_1d,0.0005034279123576811
2024-07-01,return_3d,0.0010307781231659121
2024-07-01,return_7d,-0.000611395835852049
2024-07-01,return_14d,0.0044037265993645104
2024-07-01,return_30d,0.0020005412496319824
2024-07-01,return_90d,-0.003685402578159583
2024-07-01,close_location,-4.909380563574212e-05
2024-07-01,body_fraction,-0.0003745728142001602
2024-07-01,range_over_20d,0.0022216838309008094
2024-07-01,realized_vol_30d,-0.000561276186331641
2024-07-01,distance_high_20d,-0.0030210295992376007
2024-07-01,distance_low_20d,-0.004124846801624469
2024-08-01,return_1d,2.0071373273307742e-05
2024-08-01,return_3d,0.00014498144180389032
2024-08-01,return_7d,0.0015518887688463895
2024-08-01,return_14d,0.0009358238195524213
2024-08-01,return_30d,0.0016022619221973706
2024-08-01,return_90d,-0.0014281973520827614
2024-08-01,close_location,0.0003507682737420046
2024-08-01,body_fraction,-0.0007937456686517327
2024-08-01,range_over_20d,0.0021841984288148543
2024-08-01,realized_vol_30d,-0.0013169333193055431
2024-08-01,distance_high_20d,-0.0025742519549044017
2024-08-01,distance_low_20d,-0.0018620632230782197
2024-09-01,return_1d,-7.661810288353946e-05
2024-09-01,return_3d,0.0010165182393308296
2024-09-01,return_7d,0.0009819875582800393
2024-09-01,return_14d,0.0017087325211013406
2024-09-01,return_30d,0.0013328230891620457
2024-09-01,return_90d,-0.0009333170145872718
2024-09-01,close_location,0.0003545269903001785
2024-09-01,body_fraction,-0.0008698022281969927
2024-09-01,range_over_20d,0.0024119988238819156
2024-09-01,realized_vol_30d,-0.0015058619123402555
2024-09-01,distance_high_20d,-0.0037843840893238565
2024-09-01,distance_low_20d,-0.0014584967888012998
2024-10-01,return_1d,0.0006644349228593958
