sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
core,SHORT,2026-06-24 00:15:00,2026-07-05 00:15:00,1056,11.0,-0.010312610022577835,0.1428683434051414
core,LONG,2026-07-05 00:15:00,2026-08-15 23:45:00,4030,41.979166666666664,0.003829912674011259,0.11001403137857231
swing_long,LONG,2022-01-28 11:15:00,2022-01-31 11:15:00,288,3.0,0.0014068915234695038,0.0505119768689375
swing_long,LONG,2022-04-23 20:30:00,2022-04-25 08:15:00,143,1.4895833333333333,-0.0032334719433088897,0.14376397476842787
swing_long,LONG,2022-05-01 09:45:00,2022-05-01 10:00:00,1,0.010416666666666666,9.392690319387498e-05,0.25
swing_long,LONG,2022-06-16 02:45:00,2022-06-18 15:00:00,241,2.5104166666666665,-0.0027855052410648506,0.01962124288113944
swing_long,LONG,2022-08-29 20:30:00,2022-08-30 13:00:00,66,0.6875,0.005690537130982755,0.08899544265073901
swing_long,LONG,2022-09-28 18:30:00,2022-09-30 23:15:00,211,2.1979166666666665,0.0062149043275886405,0.1116179471419786
swing_long,LONG,2022-10-11 02:00:00,2022-10-11 06:15:00,17,0.17708333333333334,-0.0036044581960214053,0.2197808953153238
swing_long,LONG,2022-11-17 23:30:00,2022-11-20 19:45:00,273,2.84375,-0.003915639801680418,0.10140166099213999
swing_long,LONG,2022-12-28 06:15:00,2022-12-28 11:15:00,20,0.20833333333333334,-0.004509457518097892,0.25
swing_long,LONG,2023-01-01 19:00:00,2023-01-02 15:30:00,82,0.8541666666666666,0.0034258417007786146,0.25
swing_long,LONG,2023-02-11 16:45:00,2023-02-12 02:45:00,40,0.4166666666666667,-0.0017614491362550055,0.25
swing_long,LONG,2023-05-18 01:00:00,2023-05-19 02:00:00,100,1.0416666666666667,-0.0016039904292538926,0.11103042307500673
swing_long,LONG,2023-07-25 10:45:00,2023-07-28 10:45:00,288,3.0,0.00035126323722077524,0.125
swing_long,LONG,2023-08-21 20:15:00,2023-08-21 23:30:00,13,0.13541666666666666,-0.0017396416502801632,0.125
swing_long,LONG,2023-08-22 03:45:00,2023-08-22 21:45:00,72,0.75,-0.0008170110553132742,0.125
swing_long,LONG,2023-09-18 08:00:00,2023-09-18 08:45:00,3,0.03125,-0.00032170120760800086,0.0625
swing_long,LONG,2023-09-18 15:30:00,2023-09-21 15:30:00,288,3.0,-0.00030393009746175665,0.03333490871825126
swing_long,LONG,2023-10-19 18:15:00,2023-10-20 00:30:00,25,0.2604166666666667,0.0006169846244637386,0.0625
swing_long,LONG,2024-01-06 07:15:00,2024-01-08 08:45:00,198,2.0625,-0.0014273585718811987,0.04574853401852738
swing_long,LONG,2024-01-09 02:00:00,2024-01-11 00:15:00,185,1.9270833333333333,0.0018737291079197185,0.03248459274850356
