timestamp,next_timestamp,raw_core_position,raw_swing_long_position,raw_swing_short_position,core_position,swing_long_position,swing_short_position,long_gross_exposure,short_gross_exposure,gross_exposure,net_exposure,hedged,risk_speed,turnover,price_return,gross_return,trading_cost,carry_cost,net_return,equity_before,equity,drawdown,intrabar_equity_ratio,maintenance_required,maintenance_headroom,liquidated,sweep_long_signal,sweep_short_signal,daily_core_regime
2026-01-06,2026-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0004098285448639327,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-07,2026-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0007403212488017452,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-08,2026-01-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.002530189392592863,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-09,2026-01-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-4.4998280422814396e-05,-0.0,0.0,0.0,-0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-10,2026-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.00017773985994085084,-0.0,0.0,0.0,-0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-11,2026-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.000494328066920513,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-12,2026-01-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0007805826857802955,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-13,2026-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.007126469517887424,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-14,2026-01-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.002939147647182283,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-15,2026-01-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.001359259504291277,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-16,2026-01-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,-0.001447213425734728,-0.0,0.0,0.0,-0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-17,2026-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0002674994214197923,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-18,2026-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.00022211616675504864,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-19,2026-01-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0007067423846172094,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-20,2026-01-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0004390467733363934,0.0,0.0,0.0,0.0,0.9801266491881067,0.9801266491881067,-0.09436985658637997,1.0,0.0,1.0,False,False,False,0.0
2026-01-21,2026-01-22 00:00:00,-0.2675645030615842,0.0,0.0,-0.2675645030615842,0.0,0.0,0.0,0.2675645030615842,0.2675645030615842,-0.2675645030615842,False,1.0,0.0,0.003336687852517173,-0.0008927792271303819,0.0,2.2907919782669877e-07,-0.0008930083063282086,0.9832228620567521,0.9823448358739637,-0.09232026766019885,0.9984781101338795,0.001337822515307921,0.9971402876185717,False,False,False,-1.0
2026-01-22,2026-01-23 00:00:00,-0.2331206514178405,0.0,0.0,-0.2331206514178405,0.0,0.0,0.0,0.2331206514178405,0.2331206514178405,-0.2331206514178405,False,1.0,0.0,-0.0012805532533525232,0.00029852340859677515,0.0,1.9958959881664426e-07,0.0002983238189979585,0.9865583537261764,0.9868526675819244,-0.08815506280677854,0.9981603577627346,0.0011656032570892024,0.9969947545056453,False,False,False,-1.0
