variant,expiry_minutes,target_r,year,n_placed,n_filled,fill_rate,win_rate_15bp,avg_gross_r,median_gross_r,avg_net_r_11bp,avg_net_r_15bp,avg_net_r_20bp,profit_factor_15bp,t_stat_15bp
V2_clearer_macro,30,2.0,2024,1289,1141,0.8851823118696664,0.3584574934268186,0.04527521942450488,-0.9999999999999858,-0.3031133690339672,-0.42980012847341165,-0.588158577772717,0.5316973793148118,-10.25625051954101
V2_clearer_macro,30,2.0,2025,1331,1168,0.8775356874530428,0.336472602739726,-0.03247149854036354,-0.9999999999999898,-0.3354776997662937,-0.44566177293935916,-0.5833918644056911,0.5136272581893078,-11.08049328628462
V2_clearer_macro,30,2.0,2026,843,725,0.8600237247924081,0.33793103448275863,0.011516139396964546,-0.9999999999999853,-0.35730827560007467,-0.4914262446899071,-0.6590737060521976,0.4842552143473567,-9.294040664692032
V2_clearer_macro,30,2.0,ALL,4974,4346,0.8737434660233213,0.3354809019788311,-0.015665522462862867,-0.9999999999999862,-0.4326180784982353,-0.5842371897838253,-0.7737610788908127,0.4274858658604215,-23.781772324389877
V2_clearer_macro,60,1.0,2023,1511,1370,0.9066843150231635,0.3613138686131387,-0.03630730421027463,-0.9999999999990419,-0.6414112628335528,-0.8614490659692903,-1.1364963198889622,0.1712693394981041,-17.97329533618741
V2_clearer_macro,60,1.0,2024,1289,1173,0.9100077579519007,0.4731457800511509,0.022940252784069352,0.2921739130434841,-0.32453063377751457,-0.4508836834362724,-0.6088249955097196,0.37643966736925205,-14.776436524707634
V2_clearer_macro,60,1.0,2025,1331,1222,0.918106686701728,0.46317512274959083,-0.01193165576782122,-0.25701094359553917,-0.31431218073869044,-0.42426873527355197,-0.5617144284421289,0.4056169434576329,-14.34808484634094
V2_clearer_macro,60,1.0,2026,843,768,0.9110320284697508,0.4348958333333333,-0.012638021578619615,-0.13120926866974264,-0.38360806155327465,-0.5185062579076946,-0.6871290033507197,0.3304743456557086,-13.40517216167753
V2_clearer_macro,60,1.0,ALL,4974,4533,0.9113389626055488,0.4301786896095301,-0.01039456743283042,-0.06405148636224216,-0.42755533634206633,-0.5792501613999702,-0.7688686927223503,0.2977965935792248,-29.473323591108066
V2_clearer_macro,60,1.5,2023,1511,1370,0.9066843150231635,0.34306569343065696,-0.06624534912120689,-0.9999999999999751,-0.6713493077444851,-0.8913871108802226,-1.1664343647998943,0.23519253721883113,-17.429695962546024
V2_clearer_macro,60,1.5,2024,1289,1173,0.9100077579519007,0.40494458653026427,0.027323185698409896,-0.9999999999999774,-0.32014770086317407,-0.4465007505219319,-0.6044420625953791,0.4697963136328935,-12.326178911045638
V2_clearer_macro,60,1.5,2025,1331,1222,0.918106686701728,0.3911620294599018,-0.0232112525218625,-0.9999999999999851,-0.3255917774927317,-0.43554833202759324,-0.5729940251961702,0.4797871409297069,-12.455871835375707
V2_clearer_macro,60,1.5,2026,843,768,0.9110320284697508,0.37890625,-0.012768845419792169,-0.9999999999999784,-0.38373888539444717,-0.5186370817488671,-0.687259827191892,0.41408010793621003,-11.485907442127417
V2_clearer_macro,60,1.5,ALL,4974,4533,0.9113389626055488,0.3781160379439665,-0.021371421869829026,-0.9999999999999795,-0.43853219077906497,-0.5902270158369688,-0.7798455471593488,0.37597537887788485,-26.86459160282393
V2_clearer_macro,60,2.0,2023,1511,1370,0.9066843150231635,0.3094890510948905,-0.07325312303787879,-0.9999999999999831,-0.678357081661157,-0.8983948847968943,-1.1734421387165663,0.27678804384673356,-16.77460982527744
V2_clearer_macro,60,2.0,2024,1289,1173,0.9100077579519007,0.3546462063086104,0.03664347679477164,-0.9999999999999858,-0.31082740976681233,-0.4371804594255701,-0.5951217714990173,0.5251923338745855,-10.610988929025906
V2_clearer_macro,60,2.0,2025,1331,1222,0.918106686701728,0.34206219312602293,-0.01748238312479324,-0.9999999999999892,-0.3198629080956625,-0.429819462630524,-0.567265155799101,0.527233668178117,-10.887949792558237
V2_clearer_macro,60,2.0,2026,843,768,0.9110320284697508,0.3424479166666667,0.024412806378075413,-0.9999999999999845,-0.3465572335965796,-0.4814554299509995,-0.6500781753940245,0.4910102435663477,-9.380186928768087
V2_clearer_macro,60,2.0,ALL,4974,4533,0.9113389626055488,0.3355393778954335,-0.013233712146870118,-0.9999999999999857,-0.430394481056106,-0.5820893061140099,-0.7717078374363899,0.42879082282642644,-24.29988116366297
V2_clearer_macro,180,1.0,2023,1511,1453,0.9616148246194574,0.36269786648313834,-0.03424969124774905,-0.9999999999984566,-0.6438361206661483,-0.8655039131819297,-1.1425886538266568,0.17069977107055678,-18.839635309873287
V2_clearer_macro,180,1.0,2024,1289,1216,0.943366951124903,0.4712171052631579,0.020388485487325577,0.272723395625297,-0.32690225952244,-0.45318980316235474,-0.6110492327122481,0.3751924520246756,-15.114575882593888
V2_clearer_macro,180,1.0,2025,1331,1271,0.9549211119459053,0.46734854445318647,-0.0059641883149312725,-0.2187201528175728,-0.30828704500311843,-0.4182226292533683,-0.5556421095661807,0.4108586389717314,-14.416346581404458
V2_clearer_macro,180,1.0,2026,843,803,0.9525504151838672,0.44209215442092153,-0.0015674560884764304,-0.022704837117468887,-0.3700571850035009,-0.5040534500635099,-0.671548781388521,0.3405783031945926,-13.334464505567244
V2_clearer_macro,180,1.0,ALL,4974,4743,0.9535585042219542,0.43200506008855155,-0.007128727307129596,-0.043998087039692,-0.42631157171915984,-0.5787416969598982,-0.769279353510821,0.2987675091282055,-30.244462768800787
V2_clearer_macro,180,1.5,2023,1511,1453,0.9616148246194574,0.3420509291121817,-0.06724792874905756,-0.9999999999999745,-0.6768343581674567,-0.8985021506832381,-1.175586891327965,0.23367222879524102,-18.321811435692425
V2_clearer_macro,180,1.5,2024,1289,1216,0.943366951124903,0.40213815789473684,0.021697392361480123,-0.9999999999999787,-0.32559335264828543,-0.4518808962882003,-0.6097403258380937,0.46582742214179906,-12.700981242171114
V2_clearer_macro,180,1.5,2025,1331,1271,0.9549211119459053,0.3941778127458694,-0.01581911336776294,-0.9999999999999845,-0.31814197005595013,-0.4280775543062001,-0.5654970346190122,0.4872530690293843,-12.43966140520988
V2_clearer_macro,180,1.5,2026,843,803,0.9525504151838672,0.3823163138231631,-0.008803440188779233,-0.9999999999999786,-0.3772931691038037,-0.5112894341638127,-0.6787847654888237,0.4195564325009352,-11.578566784671779
V2_clearer_macro,180,1.5,ALL,4974,4743,0.9535585042219542,0.3782416192283365,-0.020767966882318623,-0.9999999999999795,-0.4399508112943489,-0.5923809365350872,-0.7829185930860101,0.3757319345888745,-27.666697371200247
V2_clearer_macro,180,2.0,2023,1511,1453,0.9616148246194574,0.30901582931865107,-0.06992551654207765,-0.9999999999999828,-0.6795119459604768,-0.9011797384762582,-1.178264479120985,0.27674291397478223,-17.528620439831215
